7.129.68.39;00:50:56:65:8B:7B;1102-1202;DC4PRHCIHST0213-INT-POLICY-GRP
7.129.72.18;00:50:56:67:E3:3B;1102-1202;DC4PRHCIHST0108-INT-POLICY-GRP
11.129.31.31;00:50:56:66:27:C9;1104-1204;L2-OUT-IBE1-INT-POLICY-GROUP
0.0.0.0;00:50:56:57:1B:48;1104-1204;L2OUT-IBE2-INT-POLICY
11.129.63.16;00:50:56:65:14:02;1104-1204;L2OUT-IBE2-INT-POLICY
7.129.64.22;00:50:56:6F:F5:B0;1102-1202;DC4PRHCIHST0112-INT-POLICY-GRP
7.129.68.22;00:50:56:62:B1:47;1102-1202;DC4PRHCIHST0112-INT-POLICY-GRP
7.129.72.22;00:50:56:63:50:CE;1102-1202;DC4PRHCIHST0112-INT-POLICY-GRP
7.129.68.20;00:50:56:6B:2A:26;1102-1202;DC4PRHCIHST0110-INT-POLICY-GRP
7.129.64.20;00:50:56:6F:99:D4;1102-1202;DC4PRHCIHST0110-INT-POLICY-GRP
7.129.72.20;00:50:56:6D:9A:5E;1102-1202;DC4PRHCIHST0110-INT-POLICY-GRP
11.129.63.20;00:50:56:63:99:AE;1104-1204;L2OUT-IBE2-INT-POLICY
11.129.63.21;00:50:56:68:65:55;1104-1204;L2OUT-IBE2-INT-POLICY
7.129.64.43;00:50:56:61:74:17;1115-1215;DC4PRHCIHST0301-INT-POLICY-GRP
7.129.68.43;00:50:56:6F:DD:1B;1115-1215;DC4PRHCIHST0301-INT-POLICY-GRP
11.128.95.44;00:50:56:65:C3:16;1105-1205;L2-OUT-HBE3-INT-POLICY-GROUP
11.129.223.7;00:50:56:66:30:AE;1105-1205;L2-OUT-HWT1-INT-POLICY-GROUP
0.0.0.0;00:50:56:59:96:99;1104-1204;L2OUT-IBE2-INT-POLICY
7.129.72.25;00:50:56:65:C2:44;1102-1202;DC4PRHCIHST0115-INT-POLICY-GRP
7.129.64.25;00:50:56:66:4E:FB;1102-1202;DC4PRHCIHST0115-INT-POLICY-GRP
7.129.68.25;00:50:56:6D:BE:29;1102-1202;DC4PRHCIHST0115-INT-POLICY-GRP
7.129.64.56;00:50:56:60:BC:1D;1115-1215;DC4PRHCIHST0314-INT-POLICY-GRP
